Surname	First Names	Age	Boarded	Survivor () or Victim (†)
Allen	Miss Elisabeth Walton	29	Southampton	
Allison	Mr Hudson Joshua Creighton	30	Southampton	†
Allison	Mrs Bessie Waldo	25	Southampton	†
Allison	Miss Helen Loraine	2	Southampton	†
Allison	Master Hudson Trevor	11m	Southampton	
Anderson	Mr Harry	47	Southampton	
Andrews	Miss Kornelia Theodosia	62	Cherbourg	
Andrews	Mr Thomas	39	Belfast	†
Appleton	Mrs Charlotte	53	Southampton	
Artagaveytia	Mr Ramon	71	Cherbourg	†
Astor	Colonel John Jacob	47	Cherbourg	†
Astor	Mrs Madeleine Talmage	18	Cherbourg	
Aubart	"Mme. Léontine Pauline ""Ninette"""	24	Cherbourg	
Barber	Miss Ellen Mary (Maid to Mrs Tyrell William Cavendish)	26	Southampton	
Barkworth	Mr Algernon Henry	47	Southampton	
Bassani	Mrs Albina (Maid to Mrs William Robert Bucknell)	32	Cherbourg	
Baumann	Mr John D.	60	Cherbourg	†
Baxter	Mrs Hélène	50	Cherbourg	
Baxter	Mr Quigg Edmond	24	Cherbourg	†
Beattie	Mr Thomson	36	Southampton	†
Beckwith	Mr Richard Leonard	37	Southampton	
Beckwith	Mrs Sallie	46	Southampton	
Behr	Mr Karl Howell	26	Cherbourg	
Bessette	Miss Nellie Mayo (Maid to Mrs Ella Holmes White)	39	Cherbourg	
Bidois	Miss Rosalie (Maid to Mrs John Jacob Astor)	46	Cherbourg	
Bird	Miss Ellen (Maid to Mr & Mrs Isodor Straus)	31	Southampton	
Birnbaum	Mr Jakob	24	Cherbourg	†
Bishop	Mr Dickinson H.	25	Cherbourg	
Bishop	Mrs Helen	19	Cherbourg	
Björnström-Steffansson	Mr Mauritz Hokan	28	Southampton	
Blackwell	Mr Stephen Weart	45	Southampton	†
Blank	Mr Henry	39	Cherbourg	
Bonnell	Miss Caroline	30	Southampton	
Bonnell	Miss Elizabeth	61	Southampton	
Borebank	Mr John James	42	Southampton	†
Bowen	Miss Grace Scott (Maid to Mr & Mrs Arthur Ryerson)	45	Cherbourg	
Bowerman	Miss Elsie Edith	22	Southampton	
Brady	Mr John Bertram	41	Southampton	†
Brandeis	Mr Emil Franklin	48	Cherbourg	†
Brereton	Mr George Andrew	37	Southampton	
Brewe	Dr Arthur Jackson	45	Cherbourg	†
Brown	Mrs Caroline Lane	59	Southampton	
Brown	Mrs Margaret	44	Cherbourg	
Bucknell	Mrs Emma Eliza	58	Cherbourg	
Burns	Miss Elizabeth Margaret (Nanny to Master Robert Douglas Spedden)	41	Cherbourg	
Butt	Major Archibald Willingham	46	Southampton	†
Cairns	Mr Alexander Milne (Manservant to Mr William Ernest Carter)	28	Southampton	†
Calderhead	Mr Edward Pennington	42	Southampton	
Candee	Mrs Helen Churchill	52	Cherbourg	
Cardeza	Mrs Charlotte Wardle	58	Cherbourg	
Cardeza	Mr Thomas Drake Martinez	36	Cherbourg	
Carlsson	Mr Frans Olof	33	Southampton	†
Carraú-Esteves	Mr José Pedro	17	Southampton	†
Carrau	Mr Francisco Mauro Severiano	27	Southampton	†
Carter	Mr William Ernest	36	Southampton	
Carter	Mrs Lucile	36	Southampton	
Carter	Miss Lucile Polk	13	Southampton	
Carter	Master William Thornton II	11	Southampton	
Case	Mr Howard Brown	49	Southampton	†
Cassebeer	Mrs Eleanor Genevieve	36	Cherbourg	
Cavendish	Mr Tyrell William	36	Southampton	†
Cavendish	Mrs Julia Florence	25	Southampton	
Chaffee	Mr Herbert Fuller	46	Southampton	†
Chaffee	Mrs Carrie Constance	47	Southampton	
Chambers	Mr Norman Campbell	27	Southampton	
Chambers	Mrs Bertha	32	Southampton	
Chaudanson	Miss Victorine (Maid to Mrs Emily Ryerson)	36	Cherbourg	
Cherry	Miss Gladys	30	Southampton	
Chevré	Mr Paul Romaine Marie Léonce	45	Cherbourg	
Chibnall	Mrs Edith Martha Bowerman	48	Southampton	
Chisholm	Mr Roderick Robert Crispin	43	Belfast	†
Clark	Mr Walter Miller	27	Cherbourg	†
Clark	Mrs Virginia Estelle	26	Cherbourg	
Cleaver	Miss Alice Catherine (Nanny to Master Hudson Trevor Allison)	22	Southampton	
Clifford	Mr George Quincy	40	Southampton	†
Colley	Mr Edward Pomeroy	37	Southampton	†
Compton	Mrs Mary Eliza	64	Cherbourg	
Compton	Miss Sara Rebecca	39	Cherbourg	
Compton	Mr Alexander Taylor Jr	37	Cherbourg	†
Cornell	Mrs Malvina Helen	55	Southampton	
Crafton	Mr John Bertram	59	Southampton	†
Crosby	Captain Edward Gifford	70	Southampton	†
Crosby	Mrs Catherine Elizabeth	64	Southampton	
Crosby	Miss Harriette Rebecca	39	Southampton	
Cumings	Mr John Bradley	39	Cherbourg	†
Cumings	Mrs Florence Briggs	35	Cherbourg	
Daly	Mr Peter Dennis	51	Southampton	†
Daniel	Mr Robert Williams	27	Southampton	
Daniels	Miss Sarah Rebecca (Maid to Mr & Mrs Allison)	33	Southampton	
Davidson	Mr Thornton	31	Cherbourg	†
Davidson	Mrs Orian	27	Cherbourg	
Dick	Mr Albert Adrian	31	Southampton	
Dick	Mrs Vera	17	Southampton	
Dodge	Dr Washington	52	Southampton	
Dodge	Mrs Ruth	34	Southampton	
Dodge	Master Washington	4	Southampton	
Douglas	Mr Walter Donald	50	Cherbourg	†
Douglas	Mrs Mahala	48	Cherbourg	
Douglas	Mrs Mary Hélène	27	Cherbourg	
Duff Gordon	Sir Cosmo Edmund	49	Cherbourg	
Duff Gordon	Lucy Christiana, Lady	48	Cherbourg	
Dulles	Mr William Crothers	39	Cherbourg	†
Earnshaw	Mrs Olive	23	Cherbourg	
Endres	Miss Caroline Louise (Nurse to Mrs Madeleine Astor)	39	Cherbourg	
Eustis	Miss Elizabeth Mussey	54	Cherbourg	
Evans	Miss Edith Corse	36	Cherbourg	†
Farthing	Mr John (Manservant to Mr & Mrs Straus)	57	Southampton	†
Flegenheim	Mrs Antoinette	48	Cherbourg	
Fleming	Miss Margaret (Maid to Mr & Mrs Thayer)	42	Cherbourg	
Flynn	Mr John Irwin	36	Southampton	
Foreman	Mr Benjamin Laventall	30	Southampton	†
Fortune	Mr Mark	64	Southampton	†
Fortune	Mrs Mary	60	Southampton	
Fortune	Miss Ethel Flora	28	Southampton	
Fortune	Miss Alice Elizabeth	24	Southampton	
Fortune	Miss Mabel Helen	23	Southampton	
Fortune	Mr Charles Alexander	19	Southampton	†
Francatelli	Miss Laura Mabel (Secretary to Lady Duff-Gordon)	31	Cherbourg	
Franklin	Mr Thomas Parnham	37	Southampton	†
Frauenthal	Mr Isaac Gerald	43	Cherbourg	
Frauenthal	Dr Henry William	49	Southampton	
Frauenthal	Mrs Clara	42	Southampton	
Frölicher	Miss Hedwig Margaritha	22	Cherbourg	
Frölicher-Stehli	Mr Maximilian Josef	60	Cherbourg	
Frölicher-Stehli	Mrs Margaretha Emerentia	48	Cherbourg	
Fry	Mr Richard (Valet to Mr Joseph Bruce Ismay)	39	Southampton	†
Futrelle	Mr Jacques Heath	37	Southampton	†
Futrelle	Mrs Lily May	35	Southampton	
Gee	Mr Arthur H.	47	Southampton	†
Gibson	Mrs Pauline Caroline	44	Cherbourg	
Gibson	Miss Dorothy Winifred	22	Cherbourg	
Gieger	Miss Amalie (Maid to Mrs George Dunton Widener)	35	Southampton	
Giglio	Mr Victor Gaitan Andrea (Valet to Mr Benjamin Guggenheim)	23	Cherbourg	†
Goldenberg	Mr Samuel L.	47	Cherbourg	
Goldenberg	Mrs Nella	40	Cherbourg	
Goldschmidt	Mr George B.	71	Cherbourg	†
Gracie	Colonel Archibald	53	Southampton	
Graham	Mr George Edward	38	Southampton	†
Graham	Mrs Edith	59	Southampton	
Graham	Miss Margaret Edith	19	Southampton	
Greenfield	Mrs Blanche	45	Cherbourg	
Greenfield	Mr William Bertram	23	Cherbourg	
Guggenheim	Mr Benjamin	46	Cherbourg	†
Harder	Mr George Achilles	25	Cherbourg	
Harder	Mrs Dorothy	21	Cherbourg	
Harper	Mr Henry Sleeper	48	Cherbourg	
Harper	Mrs Myra Raymond	49	Cherbourg	
Harrington	Mr Charles Henry (Manservant to Mr Clarence Bloomfield Moore)	37	Southampton	†
Harris	Mr Henry Birkhardt	45	Southampton	†
Harris	Mrs Irene	35	Southampton	
Harrison	Mr William Henry (Private secretary to Mr Joseph Bruce Ismay)	45	Southampton	†
Hassab	Mr Hammad (Interpreter to Mr Henry Sleeper Harper)	27	Cherbourg	
Hawksford	Mr Walter James	45	Southampton	
Hays	Mr Charles Melville	55	Southampton	†
Hays	Mrs Clara Jennings	52	Southampton	
Hays	Miss Margaret Bechstein	24	Cherbourg	
Head	Mr Christopher	42	Southampton	†
Hilliard	Mr Herbert Henry	44	Southampton	†
Hipkins	Mr William Edward	55	Southampton	†
Hippach	Mrs Ida Sophia	44	Cherbourg	
Hippach	Miss Jean Gertrude	17	Cherbourg	
Hogeboom	Mrs Anna Louisa	51	Cherbourg	
Holverson	Mr Alexander Oskar	42	Southampton	†
Holverson	Mrs Mary Aline	35	Southampton	
Homer	Mr Harry	40	Southampton	
Hoyt	Mr Frederick Maxfield	38	Southampton	
Hoyt	Mrs Jane Anne	31	Southampton	
Hoyt	Mr William Fisher	42	Cherbourg	
Icard	Miss Rose Amélie (Maid to Mrs George Nelson Stone)	39	Southampton	
Isham	Miss Ann Elizabeth	50	Cherbourg	†
Ismay	Mr Joseph Bruce	49	Southampton	
Jones	Mr Charles Cresson	46	Southampton	†
Julian	Mr Henry Forbes	50	Southampton	†
Keeping	Mr Edwin Herbert (Manservant to Mr & Mrs Widener)	33	Southampton	†
Kent	Mr Edward Austin	58	Cherbourg	†
Kenyon	Mr Frederick Roland	41	Southampton	†
Kenyon	Mrs Marion Estelle	40	Southampton	
Kimball	Mr Edwin Nelson Jr.	42	Southampton	
Kimball	Mrs Susan Gertrude	45	Southampton	
Klaber	Mr Herman	41	Southampton	†
Kreuchen	Miss Emilie (Maid to Mrs Edward Scott Robert)	29	Southampton	
Leader	Dr Alice May	49	Southampton	
Leroy	Miss Berthe (Maid to Mrs Walter Donald Douglas)	27	Cherbourg	
Lesueur	Mr Gustave J. (Manservant to Mr Thomas Cardeza)	35	Cherbourg	
Lewy	Mr Ervin G.	30	Cherbourg	†
Lindeberg-Lind	Mr Erik Gustaf	42	Southampton	†
Lindström	Mrs Sigrid	55	Cherbourg	
Lines	Mrs Elizabeth Lindsey	50	Cherbourg	
Lines	Miss Mary Conover	16	Cherbourg	
Long	Mr Milton Clyde	29	Southampton	†
Longley	Miss Gretchen Fiske	21	Cherbourg	
Loring	Mr Joseph Holland	30	Southampton	†
Lurette	Miss Eugénie Elise (Maid to Mr & Mrs Spencer)	59	Cherbourg	
Madill	Miss Georgette Alexandra	16	Southampton	
Maguire	Mr John Edward	30	Southampton	†
Maioni	Miss Roberta Elizabeth Mary (Maid to the Countess of Rothes)	19	Southampton	
Maréchal	Mr Pierre	29	Cherbourg	
Marvin	Mr Daniel Warner	18	Southampton	†
Marvin	Mrs Mary Graham Carmichael	18	Southampton	
Mayné	Mlle Berthe Antonine	24	Cherbourg	
McCaffry	Mr Thomas Francis	46	Southampton	†
McCarthy	Mr Timothy J.	54	Southampton	†
McGough	Mr James Robert	35	Southampton	
Meyer	Mr Edgar Joseph	28	Cherbourg	†
Meyer	Mrs Leila	25	Cherbourg	
Millet	Mr Francis Davis	65	Cherbourg	†
Minahan	Dr William Edward	44	Queenstown	†
Minahan	Mrs Lillian E.	37	Queenstown	
Minahan	Miss Daisy E.	33	Queenstown	
Mock	Mr Philipp Edmund	30	Cherbourg	
Molson	Mr Harry Markland	55	Southampton	†
Moore	Mr Clarence Bloomfield	47	Southampton	†
Natsch	Mr Charles	36	Cherbourg	†
Newell	Mr Arthur Webster	58	Cherbourg	†
Newell	Miss Marjorie Anne	23	Cherbourg	
Newell	Miss Madeleine	31	Cherbourg	
Newsom	Miss Helen Monypeny	19	Southampton	
Nicholson	Mr Arthur Ernest	59	Southampton	†
Nourney	Mr Alfred	20	Cherbourg	
Oliva Y Ocana	Doña Fermina (Maid to Mrs Victor de Satode Peñasco y Castellana)	39	Cherbourg	
Omont	Mr Alfred Fernand	29	Cherbourg	
Ostby	Mr Engelhart Cornelius	64	Southampton	†
Østby	Miss Helen Ragnhild	22	Southampton	
Oviés Y Rodríguez	Mr Servando José Florentino	36	Cherbourg	†
Parr	Mr William Henry Marsh	29	Belfast	†
Partner	Mr Austin	40	Southampton	†
Payne	Mr Vivian Ponsonby (Private secretary to Mr Charles Melville Hays)	22	Southampton	†
Pears	Mr Thomas Clinton	29	Southampton	†
Pears	Mrs Edith	22	Southampton	
Peñasco Y Castellana	Mr Victor	24	Cherbourg	†
Peñasco Y Castellana	Mrs Maria Josefa Perezde Soto y Vallejo	22	Cherbourg	
Perreault	Miss Mary Anne (Maid to Mrs Charles Melville Hays)	33	Southampton	
Peuchen	Major Arthur Godfrey	52	Southampton	
Porter	Mr Walter Chamberlain	46	Southampton	†
Potter	Mrs Lily Alexenia	56	Cherbourg	
Reuchlin	Mr Jonkheer Johan George	38	Cherbourg	†
Rheims	Mr George Alexander Lucien	33	Cherbourg	
Righini	Mr Sante (Manservant to Mrs John Stewart White)	22	Cherbourg	†
Robert	Mrs Elisabeth Walton	43	Southampton	
Robins	Mr Victor (Valet to Mr John Jacob Astor)	42	Cherbourg	†
Roebling	Mr Washington Augustus II	31	Southampton	†
Romaine	Mr Charles Hallace	45	Southampton	
Rood	Mr Hugh Roscoe	39	Southampton	†
Rosenbaum	Miss Edith Louise	33	Cherbourg	
Rosenshine	Mr George	46	Cherbourg	†
Ross	Mr John Hugo	36	Southampton	†
Rothes	Lucy Noël Martha, Countess of	33	Southampton	
Rothschild	Mr Martin	46	Cherbourg	†
Rothschild	Mrs Elizabeth Jane Anne	54	Cherbourg	
Rowe	Mr Alfred G.	59	Southampton	†
Ryerson	Mr Arthur Larned	61	Cherbourg	†
Ryerson	Mrs Emily Maria	48	Cherbourg	
Ryerson	Miss Emily Borie	18	Cherbourg	
Ryerson	"Miss Susan Parker ""Suzette"""	21	Cherbourg	
Ryerson	Master John Borie	13	Cherbourg	
Saalfeld	Mr Adolphe	47	Southampton	
Salomon	Mr Abraham Lincoln	43	Cherbourg	
Sägesser	Mlle Emma (Maid to Mme. Léontine Pauline Aubart)	24	Cherbourg	
Schabert	Mrs Emma	35	Cherbourg	
Serreplan	Miss Auguste (Maid to Mrs William Carter)	30	Southampton	
Seward	Mr Frederic Kimber	34	Southampton	
Shutes	Miss Elizabeth Weed (Governess to Miss Margaret Edith Graham)	40	Southampton	
Silverthorne	Mr Spencer Victor	35	Southampton	
Silvey	Mr William Baird	51	Cherbourg	†
Silvey	Mrs Alice Gray	39	Cherbourg	
Simonius-Blumer	Mr Colonel (Oberst) Alfons	56	Southampton	
Sloper	Mr William Thompson	28	Southampton	
Smart	Mr John Montgomery	56	Southampton	†
Smith	Mr James Clinch	56	Cherbourg	†
Smith	Mr Richard William	57	Southampton	†
Smith	Mr Lucian Philip	24	Cherbourg	†
Smith	Mrs Mary Eloise	18	Cherbourg	
Snyder	Mr John Pillsbury	24	Southampton	
Snyder	Mrs Nelle	23	Southampton	
Spedden	Mr Frederic Oakley	45	Cherbourg	
Spedden	"Mrs Margaretta Corning ""Daisy"""	39	Cherbourg	
Spedden	Master Robert Douglas	6	Cherbourg	
Spencer	Mr William Augustus	57	Cherbourg	†
Spencer	Mrs Marie Eugenie	45	Cherbourg	
Stähelin-Maeglin	Dr Max	32	Southampton	
Stead	Mr William Thomas	62	Southampton	†
Stengel	Mr Charles Emil Henry	54	Cherbourg	
Stengel	Mrs Annie May	44	Cherbourg	
Stephenson	Mrs Martha	52	Cherbourg	
Stewart	Mr Albert Ankeny	64	Cherbourg	†
Stone	Mrs Martha Evelyn	62	Southampton	
Straus	Mr Isidor	67	Southampton	†
Straus	Mrs Rosalie Ida	63	Southampton	†
Sutton	Mr Frederick	61	Southampton	†
Swift	Mrs Margaret Welles	46	Southampton	
Taussig	Mr Emil	52	Southampton	†
Taussig	Mrs Tillie	39	Southampton	
Taussig	Miss Ruth	18	Southampton	
Taylor	Mr Elmer Zebley	48	Southampton	
Taylor	Mrs Juliet Cummins	49	Southampton	
Thayer	Mr John Borland	49	Cherbourg	†
Thayer	Mrs Marian Longstreth	39	Cherbourg	
Thayer	Mr John Borland Jr	17	Cherbourg	
Thorne	Miss Gertrude Maybelle	38	Cherbourg	
Tucker	Mr Gilbert Milligan Jr	31	Cherbourg	
Uruchurtu	Don. Manuel Ramirez	39	Cherbourg	†
Van Der Hoef	Mr Wyckoff	61	Belfast	†
Walker	Mr William Anderson	48	Southampton	†
Ward	Miss Annie Moore (Maid to Mrs Charlotte Cardeza)	35	Cherbourg	
Warren	Mr Frank Manley	63	Cherbourg	†
Warren	Mrs Anna Sophia	60	Cherbourg	
Weir	Colonel John	59	Southampton	†
White	Mr Percival Wayland	54	Southampton	†
White	Mr Richard Frasar	21	Southampton	†
White	Mrs Ella	55	Cherbourg	
Wick	Colonel George Dennick	57	Southampton	†
Wick	Mrs Mary Peebles	45	Southampton	
Wick	Miss Mary Natalie	31	Southampton	
Widener	Mr George Dunton	50	Southampton	†
Widener	Mrs Eleanor	50	Southampton	
Widener	Mr Harry Elkins	27	Southampton	†
Willard	Miss Constance	21	Southampton	
Williams	Mr Fletcher Fellowes Lambert	43	Southampton	†
Williams	Mr Charles Duane	51	Cherbourg	†
Williams	Mr Richard Norris II	21	Cherbourg	
Wilson	Miss Helen Alice (Maid to Mrs Frederic Oakley Spedden)	31	Cherbourg	
Woolner	Mr Hugh	45	Southampton	
Wright	Mr George	62	Southampton	†
Young	Miss Marie Grice	36	Cherbourg	
